Parola,Frequenza,Lingua
della,7332420,IT
with,5548673,EN
was,4671502,EN
dei,3809938,IT
are,3792758,EN
from,3416865,EN
have,3398904,EN
nel,3364343,IT
this,3343479,EN
said,3125573,EN
alla,3103029,IT
sono,3068855,IT
has,3015602,EN
you,3010716,EN
dell,2965421,IT
but,2655611,EN
not,2629933,EN
will,2607262,EN
they,2605013,EN
delle,2560093,IT
anche,2468987,IT
aprile,2448889,IT
gli,2344825,IT
his,2288312,EN
she,2157605,EN
who,2103922,EN
her,2101224,EN
their,2093731,EN
dal,2062245,IT
more,2036847,EN
tra,2017790,IT
nella,1858878,IT
can,1836956,EN
been,1823640,EN
new,1801559,EN
dopo,1776685,IT
anni,1767832,IT
about,1761678,EN
all,1715722,EN
which,1690313,EN
alle,1684140,IT
one,1681591,EN
people,1669376,EN
all,1668407,IT
after,1622483,EN
had,1603267,EN
there,1586881,EN
were,1583578,EN
sul,1565900,IT
year,1526302,EN
our,1516799,EN
out,1475124,EN
com,1470959,IT
stato,1465745,IT
would,1460216,EN
when,1453625,EN
also,1449073,EN
what,1436028,EN
due,1379190,IT
piã¹,1347369,IT
più,1337794,IT
your,1321019,EN
hanno,1313406,IT
dalla,1297840,IT
oggi,1260575,IT
time,1251276,EN
roma,1217575,IT
its,1167278,EN
degli,1111864,IT
into,1108967,EN
papa,1098849,IT
health,1088355,EN
francesco,1087122,IT
than,1076178,EN
questo,1076123,IT
sulla,1068873,IT
over,1068158,EN
prima,1058030,IT
cui,1055452,IT
other,1034963,EN
some,1008503,EN
essere,1007854,IT
inter,993041,IT
just,989694,EN
two,973992,EN
how,973772,EN
like,972227,EN
tutti,968554,IT
via,965331,IT
italia,952915,IT
years,950682,EN
first,936048,EN
government,919238,EN
contro,913426,IT
get,912463,EN
now,907532,EN
could,903390,EN
nuovo,896966,IT
them,887701,EN
solo,884615,IT
may,882179,EN
era,866712,IT
nei,863336,IT
chi,855967,IT
suo,849993,IT
most,830766,EN
questa,821569,IT
sua,817240,IT
state,816090,EN
net,807721,IT
last,806017,EN
news,793936,EN
tutto,787604,IT
uno,783748,IT
ancora,779324,IT
being,773441,EN
school,770319,EN
serie,770050,IT
parte,764351,IT
presidente,763682,IT
euro,762515,IT
ora,748783,IT
only,741401,EN
ore,735738,IT
san,734702,IT
any,733126,EN
while,732690,EN
trump,729964,EN
trump,722135,IT
because,718203,EN
sempre,717477,IT
work,715546,EN
day,708406,EN
before,708186,EN
dove,708122,IT
quotidiano,707321,IT
these,703682,EN
where,696534,EN
giorni,693633,IT
make,686989,EN
senza,681406,IT
stata,679513,IT
many,672837,EN
tempo,671532,IT
quando,671287,IT
those,670865,EN
cosa,665983,IT
primo,664491,IT
napoli,653567,IT
back,646373,EN
fatto,645979,IT
nelle,645183,IT
poi,644102,IT
casa,641363,IT
through,640487,EN
him,629045,EN
anno,623095,IT
lavoro,619075,IT
tre,617875,IT
public,613336,EN
then,612306,EN
loro,609931,IT
should,609700,EN
oltre,607087,IT
well,605776,EN
mondo,603109,IT
even,597304,EN
stati,595964,IT
says,594416,EN
grande,592723,IT
here,591110,EN
secondo,590584,IT
milan,587252,IT
dall,586775,IT
ecco,583314,IT
dai,581959,IT
way,576885,EN
see,576678,EN
police,574333,EN
nell,572023,IT
during,571890,EN
giornata,570815,IT
live,569175,IT
three,568762,EN
quanto,566860,IT
off,565384,EN
vita,561459,IT
know,560046,EN
fare,559861,IT
sia,559470,IT
milano,559386,IT
nuova,558110,IT
persone,557161,IT
gennaio,556384,IT
take,554774,EN
